age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,over50k,probability of yes (or score)
24, Private,376474, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0.0,0.15577630698680878
21, Private,157595, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States,0.0,0.004518595524132252
43, Private,412379, Some-college,10, Never-married, Other-service, Unmarried, White, Female,0,0,28, United-States,0.0,0.003761859377846122
31, Private,274222, 1st-4th,2, Never-married, Transport-moving, Other-relative, Other, Male,0,0,40, El-Salvador,0.0,0.004034567624330521
45, Private,114774, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,2258,55, United-States,0.0,0.47175395488739014
30, Private,118551, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,0,35, United-States,0.0,0.024630587548017502
19, Private,151806, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States,0.0,0.004229805897921324
50, State-gov,196900, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,39, United-States,0.0,0.23814229667186737
68, Private,174895, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States,0.0,0.21490497887134552
63, Private,81605, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,0.0,0.35675349831581116
24, Private,201799, Bachelors,13, Never-married, Transport-moving, Own-child, White, Female,0,0,84, United-States,0.0,0.13061706721782684
43, Private,52433, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States,1.0,0.5022420287132263
28, Self-emp-not-inc,183151, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0.0,0.15099789202213287
29, Local-gov,170482, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,2057,40, United-States,0.0,0.33134788274765015
56, Local-gov,291529, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,1.0,0.8427005410194397
50, Private,193746, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,1.0,0.6677771806716919
38, Private,133935, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,41, El-Salvador,0.0,0.1637236326932907
51, Self-emp-not-inc,192654, Bachelors,13, Widowed, Exec-managerial, Unmarried, White, Male,0,0,50, United-States,0.0,0.19544315338134766
20, Private,408988, Some-college,10, Never-married, Sales, Own-child, White, Female,594,0,24, United-States,0.0,0.009788686409592628
63, Private,156127, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States,0.0,0.3902052044868469
70, Local-gov,31540, HS-grad,9, Widowed, Other-service, Not-in-family, White, Female,0,0,20, United-States,0.0,0.00851353257894516
61, Private,95680, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,0.0,0.3329175114631653
18, Private,473449, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States,0.0,0.00891161896288395
50, Private,155434, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0.0,0.2596133351325989
49, Private,41294, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0.0,0.023118920624256134
46, Private,138069, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0.0,0.30895769596099854
47, Private,44671, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,38, United-States,0.0,0.3096611797809601
52, Private,206359, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,0.0,0.47651422023773193
42, Federal-gov,178074, Masters,14, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,1902,40, United-States,1.0,0.9241883158683777
27, Local-gov,132718, HS-grad,9, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, United-States,0.0,0.013626474887132645
30, Private,197886, Bachelors,13, Never-married, Sales, Own-child, White, Male,0,0,40, United-States,0.0,0.04862626641988754
22, Private,155913, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,18, United-States,0.0,0.0031084218062460423
33, Private,255004, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,2354,0,61, United-States,0.0,0.09947223961353302
17, Private,23856, 11th,7, Never-married, Exec-managerial, Own-child, White, Female,0,0,20, United-States,0.0,0.008527382276952267
33, Private,123031, HS-grad,9, Married-spouse-absent, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States,0.0,0.024415571242570877
56, Private,161944, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0.0,0.27456286549568176
43, Private,73333, Prof-school,15, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,32, United-States,0.0,0.02723049558699131
56, Private,142689, 11th,7, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States,0.0,0.034876707941293716
34, Private,162544, 7th-8th,4, Never-married, Priv-house-serv, Own-child, White, Female,0,0,30, United-States,0.0,0.0030726564582437277
47, Self-emp-inc,193960, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,7298,0,45, United-States,1.0,0.8621123433113098
31, Private,140206, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0.0,0.1819848269224167
42, Private,143069, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States,0.0,0.34363090991973877
36, Private,19914, Some-college,10, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States,0.0,0.014793181791901588
44, Local-gov,49665, Assoc-voc,11, Divorced, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States,0.0,0.01997224986553192
51, Private,257126, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0.0,0.16782988607883453
50, Federal-gov,191013, HS-grad,9, Separated, Sales, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, United-States,0.0,0.06673291325569153
49, Local-gov,175958, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Italy,0.0,0.1482519954442978
31, Private,54341, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States,0.0,0.21499954164028168
53, Private,249347, Assoc-voc,11, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Cuba,0.0,0.018995817750692368
33, Private,198613, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0.0,0.21217034757137299
46, Private,145041, Bachelors,13, Divorced, Machine-op-inspct, Other-relative, White, Male,0,2258,50, Dominican-Republic,0.0,0.11292464286088943
31, Private,181388, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,45, United-States,1.0,0.900432825088501
67, Private,92943, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Female,0,0,21, United-States,0.0,0.014591126702725887
27, Private,211032, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0.0,0.18974287807941437
46, Federal-gov,308077, Some-college,10, Separated, Exec-managerial, Unmarried, White, Female,0,0,50, United-States,0.0,0.20715804398059845
29, Private,79586, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,65, United-States,0.0,0.2816464602947235
37, Private,141584, Assoc-acdm,12, Married-civ-spouse, Other-service, Husband, White, Male,0,0,47, United-States,0.0,0.2628403604030609
37, Private,178100, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,0.0,0.09342703223228455
63, Self-emp-not-inc,22228, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States,0.0,0.1558089554309845
69, Self-emp-inc,174379, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, United-States,0.0,0.42513519525527954
51, Private,155983, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States,0.0,0.339314341545105
35, Local-gov,110075, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,15024,0,50, United-States,1.0,0.9908738136291504
49, Self-emp-inc,235646, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,47, United-States,0.0,0.03363890200853348
42, Local-gov,261899, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,1.0,0.8164913654327393
44, Federal-gov,786418, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,60, United-States,1.0,0.6352889537811279
36, Private,182863, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States,0.0,0.407757431268692
58, Local-gov,100054, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1.0,0.8097527027130127
39, Local-gov,100011, Assoc-acdm,12, Never-married, Tech-support, Not-in-family, White, Female,0,0,38, United-States,0.0,0.03332369029521942
32, Private,243243, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,77, United-States,0.0,0.4146384596824646
41, State-gov,52131, HS-grad,9, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States,0.0,0.09395569562911987
20, Private,319758, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States,0.0,0.00753413001075387
90, Private,225063, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South,0.0,0.2833850681781769
28, Private,258231, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States,0.0,0.014435996301472187
54, Private,221336, HS-grad,9, Widowed, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,40, Philippines,0.0,0.004582132678478956
25, Local-gov,197822, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States,0.0,0.07343048602342606
36, Private,72375, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,0,0,45, United-States,0.0,0.08205737173557281
18, Private,79077, 12th,8, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,22, United-States,0.0,0.004396721720695496
41, Private,222813, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States,1.0,0.5162239074707031
29, Private,42881, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,1.0,0.7250591516494751
57, Private,157749, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0.0,0.35630765557289124
44, Federal-gov,32000, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States,1.0,0.9008609056472778
33, Private,97723, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,0,40, United-States,0.0,0.022365011274814606
41, Self-emp-not-inc,170785, 12th,8, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States,0.0,0.008485464379191399
49, Self-emp-inc,195727, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,0.0,0.4201892614364624
74, Self-emp-inc,148003, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,6, United-States,0.0,0.4188534617424011
33, Self-emp-not-inc,234976, Bachelors,13, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States,0.0,0.461875855922699
55, Local-gov,219074, Some-college,10, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,55, United-States,0.0,0.025104066357016563
54, Private,150999, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,44, United-States,1.0,0.6703784465789795
39, Private,57691, HS-grad,9, Separated, Exec-managerial, Not-in-family, White, Male,0,2258,70, United-States,0.0,0.33850517868995667
38, Self-emp-not-inc,154641, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States,0.0,0.2111278921365738
28, Local-gov,134890, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,0.0,0.1336340606212616
35, Private,95708, Bachelors,13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,7688,0,60, United-States,1.0,0.9122925996780396
28, Private,351731, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Male,0,0,50, United-States,0.0,0.015282261185348034
28, Local-gov,257124, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States,0.0,0.21018175780773163
25, Private,301634, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,0.0,0.07990056276321411
39, Private,167882, 12th,8, Never-married, Other-service, Unmarried, Black, Female,0,0,48, Haiti,0.0,0.0015740073285996914
33, Private,164683, HS-grad,9, Never-married, Transport-moving, Own-child, White, Female,0,0,40, United-States,0.0,0.018184719607234
26, Private,339423, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,0.0,0.09942848980426788
64, Private,349826, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1.0,0.6819460988044739
53, Private,271918, 9th,5, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States,0.0,0.13542518019676208
49, Federal-gov,362679, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,9, United-States,0.0,0.412358820438385
29, Private,193932, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States,0.0,0.023817986249923706
43, Private,435266, Doctorate,16, Separated, Exec-managerial, Not-in-family, White, Female,14084,0,60, United-States,1.0,0.9376920461654663
33, Local-gov,203051, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,0,0,46, United-States,0.0,0.02690926380455494
23, Private,86939, HS-grad,9, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,0.0,0.01907517947256565
23, Private,326587, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States,0.0,0.01432528905570507
20, Private,420973, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States,0.0,0.007182568311691284
23, Private,163595, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,0.0,0.43293648958206177
39, Private,531055, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0.0,0.2273779660463333
19, Local-gov,259169, Some-college,10, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, United-States,0.0,0.024042613804340363
31, Private,386299, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0.0,0.01366678811609745
17, Private,152710, 10th,6, Never-married, Sales, Own-child, White, Female,0,0,15, United-States,0.0,0.002611580304801464
27, Private,315640, Masters,14, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,20, China,0.0,0.03734742850065231
41, Private,169823, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,46, United-States,1.0,0.8150380253791809
54, Federal-gov,72257, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7688,0,40, United-States,1.0,0.8921124935150146
41, Private,171839, Masters,14, Married-civ-spouse, Other-service, Wife, White, Female,0,0,50, United-States,0.0,0.4470210373401642
22, Private,161508, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States,0.0,0.05048644542694092
32, Self-emp-not-inc,33404, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,10520,0,50, United-States,0.0,0.25552576780319214
33, Private,104620, Masters,14, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,15, United-States,0.0,0.3685256540775299
43, Private,174748, Bachelors,13, Divorced, Exec-managerial, Unmarried, Black, Female,7430,0,45, United-States,0.0,0.3229925334453583
26, Private,108822, HS-grad,9, Never-married, Transport-moving, Unmarried, White, Male,0,0,40, United-States,0.0,0.017596878111362457
34, State-gov,62327, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1.0,0.7502571940422058
42, Private,188465, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,25, United-States,0.0,0.003621012670919299
55, Private,127677, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States,1.0,0.5919386148452759
67, Private,127921, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,9386,0,40, United-States,1.0,0.9396551847457886
51, Self-emp-not-inc,311631, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,0.0,0.49872925877571106
23, Federal-gov,244480, Some-college,10, Never-married, Adm-clerical, Unmarried, White, Female,0,0,15, United-States,0.0,0.016547588631510735
36, Private,295706, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,3674,0,42, United-States,0.0,0.03873755410313606
39, Private,123535, 11th,7, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,40, Guatemala,0.0,0.06334169954061508
39, Self-emp-not-inc,192626, HS-grad,9, Separated, Farming-fishing, Not-in-family, White, Male,0,0,50, United-States,0.0,0.015543056651949883
41, Federal-gov,260761, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1.0,0.8267725706100464
47, Private,275095, 9th,5, Widowed, Exec-managerial, Unmarried, White, Female,0,0,50, United-States,0.0,0.03106742724776268
70, Self-emp-not-inc,152066, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States,0.0,0.3233412206172943
35, Private,193094, HS-grad,9, Never-married, Prof-specialty, Unmarried, White, Female,0,0,35, United-States,0.0,0.021177368238568306
73, Self-emp-not-inc,252431, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,1, United-States,0.0,0.319686621427536
40, Self-emp-not-inc,145246, Some-college,10, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States,0.0,0.06208980455994606
29, State-gov,103389, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Female,4787,0,40, United-States,0.0,0.39011242985725403
17, Private,260978, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,14, Philippines,0.0,0.0012046752963215113
24, Private,167316, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,30, United-States,0.0,0.004751347005367279
51, Private,103803, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,50, United-States,0.0,0.18239536881446838
49, Private,101320, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Female,0,1564,40, Canada,0.0,0.09096822142601013
38, Private,61343, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0.0,0.10844080150127411
43, Self-emp-not-inc,204235, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,1.0,0.544793426990509
41, Private,175883, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States,0.0,0.48838406801223755
48, State-gov,176917, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,0.0,0.4232260584831238
30, Private,94145, HS-grad,9, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States,0.0,0.007247463334351778
28, Private,285897, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1.0,0.6718209385871887
51, Private,105788, 5th-6th,3, Separated, Other-service, Unmarried, Black, Female,0,0,40, Scotland,0.0,0.0005329260020516813
47, Private,380922, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States,1.0,0.9898444414138794
37, Private,24721, Some-college,10, Divorced, Other-service, Unmarried, White, Female,0,0,25, United-States,0.0,0.0033267950639128685
22, Private,137876, Some-college,10, Never-married, Protective-serv, Not-in-family, White, Male,0,0,20, United-States,0.0,0.008325489237904549
21, Private,129137, HS-grad,9, Never-married, Other-service, Other-relative, White, Female,1055,0,35, United-States,0.0,0.00414402736350894
33, Local-gov,557359, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States,0.0,0.11203139275312424
21, Private,280081, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,0.0,0.013326708227396011
58, Private,49893, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,1.0,0.8411499261856079
38, Self-emp-not-inc,180477, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,37, United-States,1.0,0.7027685642242432
36, Private,193815, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States,0.0,0.32818102836608887
38, Private,30529, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,3411,0,40, United-States,0.0,0.41600391268730164
47, Private,216414, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,0.0,0.15644174814224243
67, Private,113323, Masters,14, Divorced, Adm-clerical, Unmarried, White, Male,0,0,41, United-States,0.0,0.09827018529176712
51, Private,335997, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,40, United-States,1.0,0.5266885161399841
24, Federal-gov,332194, 9th,5, Never-married, Adm-clerical, Other-relative, Black, Male,0,0,40, United-States,0.0,0.01169885229319334
36, Self-emp-not-inc,140676, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States,0.0,0.05617988482117653
47, Private,91972, HS-grad,9, Married-civ-spouse, Priv-house-serv, Wife, White, Female,0,0,35, United-States,0.0,0.3252182900905609
44, Private,271282, Bachelors,13, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,56, United-States,0.0,0.036484453827142715
33, Private,48520, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,0.0,0.26237428188323975
43, Private,301007, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,50, United-States,1.0,0.9586091041564941
40, Private,271665, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States,0.0,0.4659392833709717
27, State-gov,413870, Some-college,10, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, United-States,0.0,0.04043367877602577
26, Private,109457, 10th,6, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,48, United-States,0.0,0.06769762933254242
63, Local-gov,197189, Bachelors,13, Widowed, Prof-specialty, Not-in-family, White, Female,4650,0,48, United-States,1.0,0.5466108322143555
34, Private,190027, HS-grad,9, Separated, Tech-support, Unmarried, Black, Female,0,0,35, United-States,0.0,0.005041597411036491
30, Local-gov,264936, Bachelors,13, Separated, Prof-specialty, Unmarried, White, Female,0,0,40, United-States,0.0,0.0621410496532917
18, Private,70021, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,12, United-States,0.0,0.0044998470693826675
40, Private,34178, Some-college,10, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States,0.0,0.017572535201907158
